order_id,order_date,phone_brand,phone_model,quantity,price_per_unit,total_price,payment_method,store_location
34878a6f-b261-4888-8b68-e017d5ab8929,2024-06-04,Xiaomi,Mi 11,2,8999000,17998000,Cash,Bandung
39804169-9c5f-4e38-80a6-c0e3b6ae001e,2023-12-25,Xiaomi,Redmi Note 11,3,4999000,14997000,E-Wallet,Palembang
57bc194c-70d1-4bfb-9ae9-b0bf4e85a1f0,2023-11-17,Xiaomi,Redmi Note 9,1,3999000,3999000,Cash,Bandung
5be43d74-f05f-4916-9c93-f53e6bd0b4cb,2024-02-25,Huawei,Mate 40,2,10499000,20998000,Credit Card,Bekasi
181c5cf7-bb03-47c4-b5a7-96d64d6faa1e,2024-03-18,Xiaomi,Redmi Note 12,1,5999000,5999000,Debit Card,Surabaya
de82ab84-1301-40ce-bf3f-6732278231af,2024-02-08,Huawei,P30,1,8999000,8999000,E-Wallet,Bandung
9f5d6ff6-62f8-4852-90f4-782bb56e7d52,2024-05-14,Apple,iPhone SE (2020),1,7499000,7499000,Credit Card,Jakarta
8d10b780-8156-4d35-814d-f026484a4dea,2024-03-16,Xiaomi,Poco X3 Pro,2,4499000,8998000,Credit Card,Bandung
97cfe6d8-6033-4755-8d99-1b32c5aedce6,2023-10-30,Huawei,Mate 40,1,10499000,10499000,E-Wallet,Bandung
885ad5de-450a-4c6b-ad53-6f6a514b8885,2024-01-21,Apple,iPhone 12,2,12999000,25998000,Debit Card,Depok
ba21fd60-8e79-467e-9594-68f3ef88b80c,2024-07-15,Xiaomi,Redmi Note 11,1,4999000,4999000,Cash,Jakarta
c8d6dcf5-de84-405f-8d13-4c06a64524cd,2024-01-06,Apple,iPhone SE (2020),2,7499000,14998000,E-Wallet,Surabaya
0284f75c-409a-4239-8980-13fad795f391,2024-01-23,Xiaomi,Redmi Note 12,2,5999000,11998000,Cash,Bandung
83fd7925-0bce-46df-948f-9f68a0617e37,2024-01-05,Xiaomi,Redmi 9A,1,3999000,3999000,Cash,Jakarta
15df083b-08c4-48ac-81fa-f63292d590a6,2024-10-02,Samsung,Galaxy M31,2,4999000,9998000,Cash,Jakarta
d13e4c0b-dfe0-4355-b430-7c76b95fc78e,2024-08-13,Samsung,Galaxy M31,3,4999000,14997000,E-Wallet,Bekasi
d8e9e795-75c2-4f9b-8fe8-b4118a06d934,2023-12-17,Xiaomi,Mi 10,1,9999000,9999000,Cash,Jakarta
c90871f4-d52e-429e-8904-66bc8ed53954,2024-08-06,Xiaomi,Redmi Note 11,1,4999000,4999000,Debit Card,Jakarta
1cd668fa-5925-4ad5-8b8f-05a2d99a721b,2024-08-22,Xiaomi,Redmi Note 9,2,3999000,7998000,Debit Card,Bandung
c264e76b-7b5a-475a-bec1-0cacd2ab4ac6,2024-03-31,Xiaomi,Mi 11,3,8999000,26997000,Cash,Jakarta
70f0305b-4ad3-4bda-a684-4ee1d51048b4,2024-07-13,Samsung,Galaxy A32,1,6999000,6999000,Credit Card,Jakarta
f63dc462-131e-4687-8b95-ac214abba479,2024-10-08,Apple,iPhone 11,2,10999000,21998000,Debit Card,Malang
9b97998c-bd32-412c-94f6-2e7bf61d2f00,2024-08-14,Realme,C12,2,3999000,7998000,E-Wallet,Jakarta
4826920e-749e-4905-9f06-fe4d288315d3,2024-02-06,Infinix,Hot 50 5G,2,6999000,13998000,Credit Card,Jakarta
89737253-a95a-4c33-aa8a-538ea547b5f9,2023-11-22,Realme,GT Master Edition,1,5999000,5999000,Cash,Semarang
0679678f-aadc-422d-8450-a1c909025813,2023-10-28,Xiaomi,Poco X3 Pro,1,4499000,4499000,Credit Card,Bandung
018d65f0-7000-4690-a5f5-fe4be5d54099,2023-10-11,Oppo,Find X3,1,11499000,11499000,E-Wallet,Surabaya
5dfa276e-53be-4eb2-accf-05e6322a541a,2024-02-08,Apple,iPhone XR,3,9999000,29997000,E-Wallet,Jakarta
7e853b71-452a-471a-88e5-1bea259548d6,2024-09-08,Huawei,Mate 40,2,10499000,20998000,Credit Card,Jakarta
6ace17de-211f-40a3-874e-fb4c80d08e11,2024-07-28,Apple,iPhone 12,1,12999000,12999000,E-Wallet,Batam
