product_name,product_price,merchant_name
Samsung Galaxy A25 5G 8/128GB - Blue,Rp3.399.000,MHI - Samsung Authorized
Samsung Galaxy A35 5G 8/256GB Ice Blue Lilac Navy Original,Rp4.849.000,MHI - Samsung Authorized
Samsung Galaxy S24 Ultra S24Ultra 12/256GB 12/512GB Black Gray Violet Yellow Original,Rp18.910.000,MHI - Samsung Authorized
Samsung Galaxy A55 5G 12/256GB,Rp6.299.000,MHI - Samsung Authorized
Samsung Galaxy S24 8/256GB Handphone AI,Rp12.099.000,MHI - Samsung Authorized
Official Xiaomi POCO F6 (8GB+256GB) | (12GB + 512GB) Snapdragon 8s Gen 3 | LiquidCool Technology 4.0 IceLoop,Rp4.899.000,Xiaomi Official Store
Official POCO C65 | RAM hingga 16 GB* Prosesor kencang Helio G85 90Hz ,Rp1.399.000,Xiaomi Official Store
iPhone 13 Garansi Resmi,Rp10.100.000,igoods gadget
Official Xiaomi Redmi 13C | Tiga kamera AI 50 MP 16 GB RAM* Layar Dot ,Rp1.499.000,Xiaomi Official Store
Official POCO X6 Pro 5G | Dimensity 8300-Ultra 120Hz FIow AMOLED 67W T,Rp4.599.000,Xiaomi Official Store
INFINIX HANDPHONE GT 20 Pro 256/12 GARANSI RESMI,Rp4.074.700,GIMU GIMU MOBILE
Infinix Zero 30 4G 8/256GB – Up to 16 GB - 120Hz - 8/256 Garansi Resmi,Rp2.648.000,Infinix Official Store
(IBOX) iPhone 15 128GB 256GB 512GB GARANSI APPLE 1 TAHUN,Rp13.394.000,iStuffOriginal
IPhone 12 Garansi Resmi Ibox,Rp8.110.000,igoods gadget
"V40 Lite 5G (8/256) - AI Aura Light, AI Erase, Sony IMX882, 80W FlashCharge",Rp4.299.000,vivo Indonesia
Samsung Galaxy A54 5G 8/256 GB Garansi Resmi SEIN,Rp4.780.000,Gudang-HP
Iphone 11 64gb Bekas Fullset,Rp4.050.000,Boboy Store
(IBOX) Apple iPhone 14 Pro Max ProMax 1TB 512GB 256GB 128GB Resmi TAM,Rp25.999.000,Putra Group
Apple iPhone 12 128GB - Garansi Resmi iBox Apple Indonesia,Rp8.350.000,Universe Store
Apple iPhone 15 Pro Garansi Resmi - 128GB 256GB 512GB 1T,Rp17.799.000,iSmile Official Store
Samsung Galaxy A55 5G 8/128GB,Rp5.299.000,Samsung Official Store
Xiaomi Redmi Note 13 Pro 4G 256GB [ Ram 8 GB ] Garansi Resmi Indonesia,Rp3.307.000,New Rizkyapple
Samsung Galaxy A35 5G 256GB [ Ram 8GB ] Resmi Samsung Indonesia,Rp4.378.000,New Rizkyapple
POCO C65 NFC Ram 6/128Gb - 8/256Gb Bergaransi ,Rp1.474.000,BRPGC
INFINIX HANDPHONE GT 20 Pro 256/12 GARANSI RESMI,Rp4.074.700,GIMU GIMU MOBILE
Apple Iphone 15 Pro Max 256 GB 512 GB 1 TB Garansi Resmi iBox,Rp24.999.000,LJS OFFICIAL
iPhone 12 Pro / 12 Pro Max 128GB 256GB 512GB Bekas Mulus Fullset Ori,Rp8.000.000,Big Berry Cellular
Nokia 105 (2023) - Charcoal,Rp275.000,Nokia Mobile Official
Samsung Galaxy A15 LTE 8/256GB ,Rp2.980.000,Samsung Official Store
Iphone 12 Pro 128gb / 256gb /512gb Bekas Fullset,Rp6.500.000,Boboy Store
Iphone 13 128Gb/256Gb/512Gb Garansi Resmi IBOX/TAM,Rp10.113.000,Senjaya Selindo
"Xiaomi 14T (12/256) (12/512) | Leica Summilux Optical Lens | MediaTek Dimensity 8300-Ultra | 144Hz AI display [Official Store] - Titan Black, 12+256",Rp6.499.000,Xiaomi Official Store
"V40 Lite 4G (8/256) - AI Aura Light Potrait, AI Erase, 80W FlashCharge, 32MP Front Camera",Rp3.599.000,vivo Indonesia
Infinix Smart 8 ROM 64GB / 128GB [ Ram 3GB / 4GB ] Garansi Resmi - Black White Gold Green,Rp1.016.000,New Rizkyapple
"V40 Lite 4G (8/128) - AI Aura Light Potrait, AI Erase, 80W FlashCharge, 32MP Front Camera",Rp3.299.000,vivo Indonesia
VIVO Y71 RAM 2/16 GARANSI RESMI VIVO INDONESIA 1TH,Rp1.449.900,189 CELL
(RESMI) Samsung Galaxy S24 Ultra 256GB 512GB 1TB Black Gray,Rp17.799.000,Putra Group
"itel RS4 RAM 8+128GB - NFC - G99 Ultimate - 45W Power Charge - 120Hz 6.6"" - Dual Speaker",Rp1.649.000,Itel Official Store
Infinix Note 40 8/256 GB Garansi Resmi 1 Tahun,Rp2.239.000,NEW ERA PONSEL
Infinix Smart 6 2/32 New Garansi Resmi,Rp1.025.000,David Premium Store
New Nubia Neo 2 5G Shoulder Air Trigger UFS 3.1 8+12/256 Garansi Resmi,Rp2.819.000,Nubia Official Store
iPhone 13 - Resmi Indonesia - Semua Warna Tersedia,Rp9.430.000,Jagofon
Samsung Galaxy S23 Ultra 5G 12/256GB - Cream,Rp16.249.000,Union Smartphone - Samsung Authorized
OPPO RENO 12 5G RAM 12/256GB GARANSI RESMI 1 TAHUN,Rp6.099.000,toko oppostore
IPHONE 12 PRO 256 GB SINYAL PERMANEN ALL OPERATOR,Rp7.985.040,Hellokitty boboy apple store
Tecno Pova 5 Pro 5G 8/256 GB [RAM 8+8 Extend] Garansi Resmi,Rp2.499.000,duniagadgetku
Xiaomi Poco M3 Pro 5G 4/64GB Garansi Resmi,Rp2.399.000,Gudang-HP
Samsung Galaxy A22 5G 6GB/128GB A 22 LTE 6/128 GB Garansi Resmi,Rp2.799.000,bursacell1875
iPhone 11 Pro Second Bekas Original,Rp4.400.000,KEY PHONE CELLULAR
hp samsung e1272 termurah original jadul samsung lipat dual sim,Rp153.800,Little Master.shop
SAMSUNG GALAXY A33 5G RAM 8GB/256GB SECOND GARANSI RESMI,Rp2.600.000,allshop cell
Official realme C61 8+128 (50MP AI Camera | 90Hz Eye Comfort Display | 7.84mm Ultra Slim Design | Powerful Octa-core Chipset | 5000mAh Massive Battery),Rp1.799.000,realme Official Store
(RESMI) Samsung Galaxy Z Fold 6 Fold6 5G 256GB 512GB 1TB Silver Shadow Navy Pink,Rp21.799.000,Putra Group
Official POCO C65 | RAM hingga 16 GB* Prosesor kencang Helio G85 90Hz ,Rp1.399.000,Xiaomi Official Store
Xiaomi Redmi Note 13 Pro 4G 256GB [ Ram 8 GB ] Garansi Resmi Indonesia,Rp3.307.000,New Rizkyapple
NOKIA 105 DUAL SIM (NEW)-RESMI NOKIA,Rp235.000,mitra selular
Samsung Galaxy A05s 6/ 128 GB - Garansi Resmi Samsung 1 Tahun,Rp1.875.000,metro cell wtc
